id,authors_t,basionym_s_lower,basionym_author_s_lower,lookup_basionym_id,bibliographic_reference_s_lower,bibliographic_type_info_s_lower,reference_collation_s_lower,collection_date_as_text_s_lower,collection_day_1_s_lower,collection_day_2_s_lower,collection_month_1_s_lower,collection_month_2_s_lower,collection_number_s_lower,collection_year_1_s_lower,collection_year_2_s_lower,collector_team_as_text_t,lookup_conserved_against_id,lookup_correction_of_id,date_created_date,date_last_modified_date,distribution_s_lower,east_or_west_s_lower,family_s_lower,taxon_scientific_name_s_lower,taxon_sci_name_suggestion,genus_s_lower,geographic_unit_as_text_s_lower,hybrid_b,hybrid_genus_b,lookup_hybrid_parent_id,hybrid_parents_s_lower,infra_family_s_lower,infra_genus_s_lower,infraspecies_s_lower,lookup_isonym_of_id,lookup_later_homonym_of_id,latitude_degrees_s_lower,latitude_minutes_s_lower,latitude_seconds_s_lower,locality_s_lower,longitude_degrees_s_lower,longitude_minutes_s_lower,longitude_seconds_s_lower,name_status_s_lower,name_status_bot_code_type_s_lower,name_status_editor_type_s_lower,nomenclatural_synonym_s_lower,lookup_nomenclatural_synonym_id,north_or_south_s_lower,original_basionym_s_lower,original_basionym_author_team_s_lower,original_hybrid_parentage_s_lower,original_remarks_s_lower,original_replaced_synonym_s_lower,original_taxon_distribution_s_lower,lookup_orthographic_variant_of_id,other_links_s_lower,lookup_parent_id,publication_s_lower,lookup_publication_id,publication_year_i,publication_year_full_s_lower,publication_year_note_s_lower,publishing_author_s_lower,rank_s_alphanum,reference_t,reference_remarks_s_lower,remarks_s_lower,lookup_replaced_synonym_id,lookup_same_citation_as_id,score_s_lower,species_s_lower,species_author_s_lower,lookup_superfluous_name_of_id,suppressed_b,top_copy_b,lookup_type_id,type_locations_s_lower,type_name_s_lower,type_remarks_s_lower,type_chosen_by_s_lower,type_note_s_lower,detail_author_team_ids,detail_species_author_team_ids,page_as_text_s_lower,citation_type_s_lower,lookup_validation_of_id,version_s_lower,powo_b,sortable,family_taxon_name_sortable,rhakhis_pk,rhakhis_wfo,rhakhis_skip,rhakhis_rank,rhakhis_status,rhakhis_parent,rhakhis_accepted,rhakhis_basionym
urn:lsid:ipni.org:names:77359842-1,"T.B.Chao, Zhi X.Chen & X.K.Li",,,,,,6,,24,,8,,201508241,2015,,T.B.Zhao et al.,,,45751.59361,45776.43903,"Henan (China Southeast, China, Asia-Temperate)",,Pinaceae,Pinus bungeana var. albicortex,Pinus bungeana var. albicortex,Pinus,,f,f,,,,,albicortex,,,,,,Zhengzhou Botanical Garden,,,,,,,,,,,,,,,,,,262822-1,Select. Pap. Zhao Tianbang,urn:lsid:ipni.org:publications:20056324-1,2021,2021 [1 Apr 2021],[1 Apr 2021],"T.B.Chao, Zhi X.Chen & X.K.Li",var.,Select. Pap. Zhao Tianbang 6. 2021 [1 Apr 2021] ,,Herbarium acronym cited in error as 'HNAC',,,11,bungeana,Zucc. ex Endl.,,f,t,,holotype HEAC,,,,,X.K.Li@20085825-1@3@aut$T.B.Chao@14646-1@1@aut$Zhi X.Chen@14647-1@2@aut,Zucc.@12069-1@1@aut$Endl.@18490-1@2@autEx,,tax. nov.,,1.4,f,pinus~bungeanaalbicortex,pinaceaepinus~bungeanaalbicortex,80,wfo-1200112523,,variety,,,,
urn:lsid:ipni.org:names:77359843-1,T.B.Chao & Pei C.Zhang,,,,,,8,,20,,5,,855201,1985,,T.B.Chao,,,45751.59362,45776.43545,"Henan (China Southeast, China, Asia-Temperate)",,Pinaceae,Pinus taiwanensis var. tortuosifolia,Pinus taiwanensis var. tortuosifolia,Pinus,,f,f,,,,,tortuosifolia,,,,,,"Shungqung Xian. Hungposhan, 1000 m",,,,,,,,,,,,,,,,,,677109-1,Select. Pap. Zhao Tianbang,urn:lsid:ipni.org:publications:20056324-1,2021,2021 [1 Apr 2021],[1 Apr 2021],T.B.Chao & Pei C.Zhang,var.,Select. Pap. Zhao Tianbang 8. 2021 [1 Apr 2021] ,,Type info in chinese cites the collector number as '858201'.,,,11,taiwanensis,Hayata,,f,t,,holotype HEAC,,,,,Pei C.Zhang@20085826-1@2@aut$T.B.Chao@14646-1@1@aut,Hayata@0-0@1@aut,,tax. nov.,,1.1.1.3,f,pinus~taiwanensistortuosifolia,pinaceaepinus~taiwanensistortuosifolia,81,wfo-1200112524,,variety,,,,
urn:lsid:ipni.org:names:77359844-1,T.B.Chao & Zhi X.Chen,,,,,,8,,10,,5,,855101,1985,,T.B.Chao,,,45751.59362,45776.46736,"Henan (China Southeast, China, Asia-Temperate)",,Pinaceae,Pinus taiwanensis var. brevifolia,Pinus taiwanensis var. brevifolia,Pinus,,f,f,,,,,brevifolia,,,,,,"Shungqung Xian. Hungposhan, 1300 m",,,,,,,,,,,,,,,,,,677109-1,Select. Pap. Zhao Tianbang,urn:lsid:ipni.org:publications:20056324-1,2021,2021 [1 Apr 2021],[1 Apr 2021],T.B.Chao & Zhi X.Chen,var.,Select. Pap. Zhao Tianbang 8. 2021 [1 Apr 2021] ,,,,,11,taiwanensis,Hayata,,f,t,,holotype HEAC,,,,,T.B.Chao@14646-1@1@aut$Zhi X.Chen@14647-1@2@aut,Hayata@0-0@1@aut,,tax. nov.,,1.4,f,pinus~taiwanensisbrevifolia,pinaceaepinus~taiwanensisbrevifolia,82,wfo-1200112525,,variety,,,,
urn:lsid:ipni.org:names:77359845-1,T.B.Chao & Zhi X.Chen,,,,,,7,,10,,8,,199208108,1992,,T.B.Chao,,,45751.59362,45776.46563,"Henan (China Southeast, China, Asia-Temperate)",,Pinaceae,Pinus tabuliformis var. grossipellis,Pinus tabuliformis var. grossipellis,Pinus,,f,f,,,,,grossipellis,,,,,,Funiu Shan,,,,,,,,,,,,,,,,,,263356-1,Select. Pap. Zhao Tianbang,urn:lsid:ipni.org:publications:20056324-1,2021,2021 [1 Apr 2021],[1 Apr 2021],T.B.Chao & Zhi X.Chen,var.,Select. Pap. Zhao Tianbang 7. 2021 [1 Apr 2021] ,,Collection number provided in English translation of type information is incorrectly cited as '199108108'.,,,11,tabuliformis,Carrière,,f,t,,holotype HEAC,,,,,Zhi X.Chen@14647-1@2@aut$T.B.Chao@14646-1@1@aut,Carrière@0-0@1@aut,,tax. nov.,,1.4,f,pinus~tabuliformisgrossipellis,pinaceaepinus~tabuliformisgrossipellis,83,wfo-1200112526,,variety,,,,
urn:lsid:ipni.org:names:77359846-1,T.B.Chao & Zhi X.Chen,,,,,,7,,10,,8,,199208105,1992,,T.B.Chao,,,45751.59363,45776.4642,"Henan (China Southeast, China, Asia-Temperate)",,Pinaceae,Pinus tabuliformis var. parvicoma,Pinus tabuliformis var. parvicoma,Pinus,,f,f,,,,,parvicoma,,,,,,Funiu Shan,,,,,,,,,,,,,,,,,,263356-1,Select. Pap. Zhao Tianbang,urn:lsid:ipni.org:publications:20056324-1,2021,2021 [1 Apr 2021],[1 Apr 2021],T.B.Chao & Zhi X.Chen,var.,Select. Pap. Zhao Tianbang 7. 2021 [1 Apr 2021] ,,Collection number provided in English translation of type information is incorrectly cited as '199108105'.,,,11,tabuliformis,Carrière,,f,t,,holotype HEAC,,,,,Zhi X.Chen@14647-1@2@aut$T.B.Chao@14646-1@1@aut,Carrière@0-0@1@aut,,tax. nov.,,1.5,f,pinus~tabuliformisparvicoma,pinaceaepinus~tabuliformisparvicoma,84,wfo-1200112527,,variety,,,,
urn:lsid:ipni.org:names:77359847-1,Klak & P.C.van Wyk,,,,,,177: 392,,,,,,,,,,,,45751.60152,45751.6088,"Northern Cape Province (Cape Provinces, Southern Africa, Africa)",,Aizoaceae,Mitrophyllum minutum,Mitrophyllum minutum,Mitrophyllum,,f,f,,,,,,,,,,,Richtersveld,,,,,,,,,,,,,,,,,,16262-1,S. African J. Bot.,urn:lsid:ipni.org:publications:3410-2,2024,2024 [20 Dec 2024],[20 Dec 2024],Klak & P.C.van Wyk,spec.,S. African J. Bot. 177: 392. 2024 [20 Dec 2024] [epublished],[epublished],doi:10.1016/j.sajb.2024.12.013 [english] Etymology: 'The epithet refers to the remarkable and uniquely small size of the plants'.,,,10,minutum,,,f,t,,holotype BOL BOL0309132,,"Collection details published as: 14 Sep 2019, Van Wyk 2293.",,,P.C.van Wyk@20040644-1@2@aut$Klak@38340-1@1@aut,,,tax. nov.,,1.2,f,mitrophyllum~minutum,aizoaceaemitrophyllum~minutum~,85,wfo-1000080801,,species,,,,
urn:lsid:ipni.org:names:77359848-1,Klak & P.C.van Wyk,,,,,,177: 395,,14,,9,,2293,2019,,Van Wyk,,,45751.60682,45751.60682,"Namibia (Southern Africa, Africa);Northern Cape Province (Cape Provinces, Southern Africa, Africa);",,Aizoaceae,Ruschia gariepensis,Ruschia gariepensis,Ruschia,,f,f,,,,,,,,,,,"Northern Cape Province: Richtersveld National Park, Akkedispass (2817AA)",,,,,,,,,,,,,,,,,,16337-1,S. African J. Bot.,urn:lsid:ipni.org:publications:3410-2,2024,2024 [20 Dec 2024],[20 Dec 2024],Klak & P.C.van Wyk,spec.,S. African J. Bot. 177: 395. 2024 [20 Dec 2024] [epublished],[epublished],doi:10.1016/j.sajb.2024.12.013 [english] Etymology: 'An earlier name for the Orange river was Garib (Nama) and Gariep (Afrikaans) meaning Great Water or River. The specific epithet refers to its occurrence near this river'.,,,11,gariepensis,,,f,t,,holotype BOL BOL0309131;isotype NBG,,,,,Klak@38340-1@1@aut$P.C.van Wyk@20040644-1@2@aut,,,tax. nov.,,1.1,f,ruschia~gariepensis,aizoaceaeruschia~gariepensis~,86,wfo-1000080802,,species,,,,
urn:lsid:ipni.org:names:77359849-1,(Vent.) Benth.,Leguminosae Mimosa floribunda Vent.,(Vent.),508017-1,,,2: 398,,,,,,,,,,,,45751.68809,45751.68809,,,Leguminosae,Acacia longifolia var. floribunda,Acacia longifolia var. floribunda,Acacia,,f,f,,,,,floribunda,,,,,,,,,,,,,,,,,,,,,,,,470782-1,Fl. Austral.,urn:lsid:ipni.org:publications:921-2,1864,1864,,Benth.,var.,Fl. Austral. 2: 398. 1864 ,,,,,11,longifolia,(Andrews) Willd.,,f,t,,,,,,,Vent.@11128-1@2@bas$Benth.@15956-1@1@aut,Willd.@11692-1@1@aut$Andrews@216-1@2@bas,,comb. et stat. nov.,,1.1,f,acacia~longifoliafloribunda,leguminosaeacacia~longifoliafloribunda,87,wfo-0000203078,,variety,,,,
urn:lsid:ipni.org:names:77359850-1,Baker,,,,,,132,,,,,,,,,,,,45751.75514,45751.75514,"KwaZulu-Natal (Southern Africa, Africa)",,Isoetaceae,Isoetes natalensis,Isoetes natalensis,Isoetes,,f,f,,,,,,,,,,,"Natal; Griffin's Hill, Eastcourt",,,,,,,,,,,,,,,,,,328186-2,Handb. Fern-Allies,urn:lsid:ipni.org:publications:7288-2,1887,1887 [Jul 1887],[Jul 1887],Baker,spec.,Handb. Fern-Allies 132. 1887 [Jul 1887] ,,,,,9,natalensis,,,f,t,,,,,,,Baker@407-1@1@aut,,,tax. nov.,,1.1,f,isoetes~natalensis,isoetaceaeisoetes~natalensis~,88,wfo-0001110729,,species,,,,
urn:lsid:ipni.org:names:77359851-1,Hilliard,,,,,,32: 100,,,,,,2064,,,Hilliard,,,45751.76456,45754.4772,"KwaZulu-Natal (Southern Africa, Africa)",,Gesneriaceae,Streptocarpus polyanthus subsp. verecundus,Streptocarpus polyanthus subsp. verecundus,Streptocarpus,,f,f,,,,,verecundus,,,,,,"New Hanover distr. boundary, Noodsberg, Kingscliffe",,,,,,,,,,,,,,,,,,383000-1,J. S. African Bot.,urn:lsid:ipni.org:publications:2417-2,1966,1966,,Hilliard,subsp.,J. S. African Bot. 32: 100. 1966 ,,doi:10.5962/p.397575,,,11,polyanthus,Hook.,,f,t,,holotype NU;isotype E;isotype K;isotype PRE,,,,,Hilliard@3951-1@1@aut,Hook.@0-0@1@aut,,tax. nov.,,1.3,f,streptocarpus~polyanthusverecundus,gesneriaceaestreptocarpus~polyanthusverecundus,89,wfo-0001443048,,subspecies,,,,
urn:lsid:ipni.org:names:77359853-1,(Carmich.) Fée,Pteridaceae Acrostichum obtusatum Carmich.,(Carmich.),17005190-1,,,"52, t. 14, f. 5",,,,,,,,,,,,45752.66478,45754.48943,,,Pteridaceae,Acrostichum jamesonii var. obtusatum,Acrostichum jamesonii var. obtusatum,Acrostichum,,f,f,,,,,obtusatum,,,,,,,,,,,,,,,,,,,,,,,null:,17003880-1,"Mém. Foug., 2. Hist. Acrostich.",urn:lsid:ipni.org:publications:7209-2,1845,1845,,Fée,var.,"Mém. Foug., 2. Hist. Acrostich. 52, t. 14, f. 5. 1845 ",,,,,11,jamesonii,Hook. & Grev.,,f,t,,,,,,,Fée@18692-1@1@aut$Carmich.@1406-1@2@bas,Grev.@0-0@2@aut$Hook.@0-0@1@aut,,comb. et stat. nov.,,1.3,f,acrostichum~jamesoniiobtusatum,pteridaceaeacrostichum~jamesoniiobtusatum,90,wfo-1200112528,,variety,,,,
urn:lsid:ipni.org:names:77359854-1,Blume,,,,,,1: 79,,,,,,,,,,,,45752.66556,45754.49969,,,Vittariaceae,Antrophyum parvulum var. elongatum,Antrophyum parvulum var. elongatum,Antrophyum,,f,f,,,,,elongatum,,,,,,,,,,,,,,,,,,,,,,,,17023450-1,Fl. Javae,urn:lsid:ipni.org:publications:9643-2,1829,1829,,Blume,var.,Fl. Javae 1: 79. 1829 ,,,,,8,parvulum,Blume,,f,t,,,,,,,Blume@16230-1@1@aut,Blume@0-0@1@aut,,tax. nov.,,1.3,f,antrophyum~parvulumelongatum,vittariaceaeantrophyum~parvulumelongatum,91,wfo-1200112529,,variety,,,,
